ID;LATITUDE;LONGITUDE;Mun/UF;MUNICIPIO;UF;Valor
1;-9,82;-66,88;ACRELANDIA - AC;ACRELANDIA;AC;39560,0389105082
2;-10,94;-69,56;ASSIS BRASIL - AC;ASSIS BRASIL;AC;17842,1509888388
3;-11,01;-68,74;BRASILEIA - AC;BRASILEIA;AC;93373,3943132296
4;-9,83;-67,95;BUJARI - AC;BUJARI;AC;28516,56749286
5;-10,57;-67,67;CAPIXABA - AC;CAPIXABA;AC;18886,4551361044
6;-7,63;-72,67;CRUZEIRO DO SUL - AC;CRUZEIRO DO SUL;AC;364586,138310643
7;-11,02;-68,74;EPITACIOLANDIA - AC;EPITACIOLANDIA;AC;60489,7399207691
8;-8,16;-70,35;FEIJO - AC;FEIJO;AC;140665,247878561
9;-9,43;-71,88;JORDAO - AC;JORDAO;AC;25407,1545031659
10;-7,61;-72,89;MANCIO LIMA - AC;MANCIO LIMA;AC;55464,2224463189
11;-8,83;-69,26;MANOEL URBANO - AC;MANOEL URBANO;AC;36200,0243869797
12;-8,94;-72,79;MARECHAL THAUMATURGO - AC;MARECHAL THAUMATURGO;AC;50555,1010627831
13;-10,27;-67,15;PLACIDO DE CASTRO - AC;PLACIDO DE CASTRO;AC;83591,7384912234
14;-9,58;-67,53;PORTO ACRE - AC;PORTO ACRE;AC;51717,8939640791
15;-8,26;-72,74;PORTO WALTER - AC;PORTO WALTER;AC;35809,9776245421
16;-9,97;-67,81;RIO BRANCO - AC;RIO BRANCO;AC;1476048,62000568
17;-7,74;-72,64;RODRIGUES ALVES - AC;RODRIGUES ALVES;AC;54883,187572235
18;-9,43;-70,49;SANTA ROSA DO PURUS - AC;SANTA ROSA DO PURUS;AC;10990,2193349043
19;-9,06;-68,65;SENA MADUREIRA - AC;SENA MADUREIRA;AC;155217,005489219
20;-10,15;-67,73;SENADOR GUIOMARD - AC;SENADOR GUIOMARD;AC;88074,5791033046
21;-8,16;-70,76;TARAUACA - AC;TARAUACA;AC;152932,127462332
22;-10,65;-68,5;XAPURI - AC;XAPURI;AC;84617,8501740339
23;-9,26;-37,93;AGUA BRANCA - AL;AGUA BRANCA;AL;114328,51313619
24;-9,68;-36,3;ANADIA - AL;ANADIA;AL;107939,828467457
25;-9,75;-36,66;ARAPIRACA - AL;ARAPIRACA;AL;1040633,64385747
26;-9,5;-36,02;ATALAIA - AL;ATALAIA;AL;256028,843611828
27;-9,4;-35,5;BARRA DE SANTO ANTONIO - AL;BARRA DE SANTO ANTONIO;AL;56980,2616776156
28;-9,84;-35,9;BARRA DE SAO MIGUEL - AL;BARRA DE SAO MIGUEL;AL;37840,1407100355
29;-9,67;-37,12;BATALHA - AL;BATALHA;AL;85456,720395317
30;-9,57;-36,49;BELEM - AL;BELEM;AL;35555,0185947362
31;-9,82;-37,28;BELO MONTE - AL;BELO MONTE;AL;41688,0410343698
32;-9,64;-36,22;BOCA DA MATA - AL;BOCA DA MATA;AL;133949,747414334
33;-9,24;-36,01;BRANQUINHA - AL;BRANQUINHA;AL;64397,6193223415
34;-9,4;-36,99;CACIMBINHAS - AL;CACIMBINHAS;AL;59926,1193908016
35;-9,39;-36,15;CAJUEIRO - AL;CAJUEIRO;AL;118961,223306063
36;-8,84;-35,56;CAMPESTRE - AL;CAMPESTRE;AL;43221,2491404081
37;-9,78;-36,35;CAMPO ALEGRE - AL;CAMPO ALEGRE;AL;261420,066709019
38;-9,95;-36,79;CAMPO GRANDE - AL;CAMPO GRANDE;AL;63902,9201000542
