ID;LATITUDE;LONGITUDE;Mun/UF;MUNICIPIO;UF;Valor
4754;-20,44;-50,88;APARECIDA D'OESTE - SP;APARECIDA D'OESTE;SP;32357,6117932425
4755;-24,5;-48,84;APIAI - SP;APIAI;SP;159133,138431943
4756;-23,43;-47,06;ARACARIGUAMA - SP;ARACARIGUAMA;SP;66568,7008181258
4757;-21,2;-50,43;ARACATUBA - SP;ARACATUBA;SP;1034072,99272042
4758;-23,5;-47,61;ARACOIABA DA SERRA - SP;ARACOIABA DA SERRA;SP;107624,673515907
4759;-20,09;-47,78;ARAMINA - SP;ARAMINA;SP;27277,6360359663
4760;-23,13;-49,05;ARANDU - SP;ARANDU;SP;32544,9190035434
4761;-22,67;-44,44;ARAPEI - SP;ARAPEI;SP;16363,1252800013
4762;-21,79;-48,17;ARARAQUARA - SP;ARARAQUARA;SP;1119929,65282575
4763;-22,35;-47,38;ARARAS - SP;ARARAS;SP;627731,581994169
4764;-21,77;-50,46;ARCO-IRIS - SP;ARCO-IRIS;SP;13551,797967484
4765;-22,02;-48,91;AREALVA - SP;AREALVA;SP;46372,2294434293
4766;-22,58;-44,69;AREIAS - SP;AREIAS;SP;24066,2815093475
4767;-22,66;-48,66;AREIOPOLIS - SP;AREIOPOLIS;SP;63216,0176521647
4768;-21,18;-48,78;ARIRANHA - SP;ARIRANHA;SP;46215,9879262862
4769;-22,57;-47,17;ARTUR NOGUEIRA - SP;ARTUR NOGUEIRA;SP;171393,947939924
4770;-23,39;-46,32;ARUJA - SP;ARUJA;SP;339095,118532959
4771;-20,15;-50,72;ASPASIA - SP;ASPASIA;SP;12124,854323346
4772;-22,66;-50,41;ASSIS - SP;ASSIS;SP;580243,792870658
4773;-23,11;-46,55;ATIBAIA - SP;ATIBAIA;SP;603206,133541036
4774;-20,68;-50,55;AURIFLAMA - SP;AURIFLAMA;SP;82134,1305969713
4775;-22,14;-49,33;AVAI - SP;AVAI;SP;28420,2760953738
4776;-21,46;-49,95;AVANHANDAVA - SP;AVANHANDAVA;SP;53627,9483778439
4777;-23,09;-48,92;AVARE - SP;AVARE;SP;443868,874071137
4778;-20,91;-49,44;BADY BASSITT - SP;BADY BASSITT;SP;50881,8538846195
4779;-21,9;-49,35;BALBINOS - SP;BALBINOS;SP;8458,4340775967
4780;-20,73;-49,58;BALSAMO - SP;BALSAMO;SP;43855,6477316708
4781;-22,68;-44,32;BANANAL - SP;BANANAL;SP;59655,2054492544
4782;-23,62;-49,56;BARAO DE ANTONINA - SP;BARAO DE ANTONINA;SP;18327,143908661
4783;-21,26;-49,94;BARBOSA - SP;BARBOSA;SP;37422,8722437023
4784;-22,07;-48,74;BARIRI - SP;BARIRI;SP;158218,727426016
4785;-22,49;-48,55;BARRA BONITA - SP;BARRA BONITA;SP;221974,09553721
4786;-24,47;-49,02;BARRA DO CHAPEU - SP;BARRA DO CHAPEU;SP;32889,945758921
4787;-24,75;-48,5;BARRA DO TURVO - SP;BARRA DO TURVO;SP;47604,1494068556
4788;-20,55;-48,56;BARRETOS - SP;BARRETOS;SP;681505,228204215
4789;-21,19;-48,16;BARRINHA - SP;BARRINHA;SP;150854,546591639
4790;-23,51;-46,87;BARUERI - SP;BARUERI;SP;1230786,85378722
4791;-21,92;-50,73;BASTOS - SP;BASTOS;SP;126809,713413248
4792;-20,89;-47,58;BATATAIS - SP;BATATAIS;SP;323653,837344613
4793;-22,31;-49,06;BAURU - SP;BAURU;SP;1831071,69036517
4794;-20,94;-48,47;BEBEDOURO - SP;BEBEDOURO;SP;499041,359533766
4795;-21,27;-50,81;BENTO DE ABREU - SP;BENTO DE ABREU;SP;15683,7489275669
4796;-23,01;-49,47;BERNARDINO DE CAMPOS - SP;BERNARDINO DE CAMPOS;SP;66256,4967555804
4797;-23,85;-46,13;BERTIOGA - SP;BERTIOGA;SP;105693,118900302
4798;-21,4;-50,47;BILAC - SP;BILAC;SP;35497,2717175766
4799;-21,28;-50,34;BIRIGUI - SP;BIRIGUI;SP;519740,824840379
4800;-23,57;-46,03;BIRITIBA-MIRIM - SP;BIRITIBA-MIRIM;SP;129230,08114967
4801;-21,99;-48,39;BOA ESPERANCA DO SUL - SP;BOA ESPERANCA DO SUL;SP;71385,5916615236
4802;-22,13;-48,51;BOCAINA - SP;BOCAINA;SP;54407,1680509431
4803;-23,1;-48,25;BOFETE - SP;BOFETE;SP;44033,6666948173
4804;-23,28;-47,67;BOITUVA - SP;BOITUVA;SP;177712,729704932
4805;-23,13;-46,46;BOM JESUS DOS PERDOES - SP;BOM JESUS DOS PERDOES;SP;66825,5873900285
4806;-24,31;-49,14;BOM SUCESSO DE ITARARE - SP;BOM SUCESSO DE ITARARE;SP;16396,8363486965
4807;-22,27;-50,53;BORA - SP;BORA;SP;5101,82046292519
4808;-22,19;-48,77;BORACEIA - SP;BORACEIA;SP;21396,8978428402
4809;-21,62;-49,07;BORBOREMA - SP;BORBOREMA;SP;81912,5055549005
4810;-22,56;-48,97;BOREBI - SP;BOREBI;SP;11152,7296500846
4811;-22,88;-48,44;BOTUCATU - SP;BOTUCATU;SP;659400,778219602
4812;-22,95;-46,54;BRAGANCA PAULISTA - SP;BRAGANCA PAULISTA;SP;689205,494401837
4813;-21,49;-50,31;BRAUNA - SP;BRAUNA;SP;26783,5671588383
4814;-21,16;-50,18;BREJO ALEGRE - SP;BREJO ALEGRE;SP;13455,5000002622
4815;-20,99;-47,65;BRODOSQUI - SP;BRODOSQUI;SP;99442,7879655024
4816;-22,28;-48,12;BROTAS - SP;BROTAS;SP;105177,30999038
4817;-23,79;-48,59;BURI - SP;BURI;SP;113649,954157891
4818;-21,06;-50,14;BURITAMA - SP;BURITAMA;SP;93462,721520053
4819;-20,19;-47,7;BURITIZAL - SP;BURITIZAL;SP;21762,5978712901
4820;-22,45;-49,33;CABRALIA PAULISTA - SP;CABRALIA PAULISTA;SP;27262,997931961
4821;-23,3;-47,13;CABREUVA - SP;CABREUVA;SP;145575,922420464
4822;-23,1;-45,7;CACAPAVA - SP;CACAPAVA;SP;474760,333126657
4823;-22,66;-45;CACHOEIRA PAULISTA - SP;CACHOEIRA PAULISTA;SP;156126,750676019
4824;-21,52;-46,64;CACONDE - SP;CACONDE;SP;107345,654923584
4825;-21,8;-49,61;CAFELANDIA - SP;CAFELANDIA;SP;94054,5272368258
4826;-22,01;-51,23;CAIABU - SP;CAIABU;SP;25739,3488075387
4827;-23,36;-46,74;CAIEIRAS - SP;CAIEIRAS;SP;361078,815005082
4828;-21,83;-51,99;CAIUA - SP;CAIUA;SP;22385,5360506233
4829;-23,35;-46,87;CAJAMAR - SP;CAJAMAR;SP;267666,229494738
4830;-24,73;-48,12;CAJATI - SP;CAJATI;SP;184231,336347816
4831;-20,88;-48,8;CAJOBI - SP;CAJOBI;SP;67312,9210608531
4832;-21,27;-47,3;CAJURU - SP;CAJURU;SP;131427,145356253
4833;-23,59;-48,47;CAMPINA DO MONTE ALEGRE - SP;CAMPINA DO MONTE ALEGRE;SP;28288,5151649658
4834;-22,9;-47,06;CAMPINAS - SP;CAMPINAS;SP;908906
4835;-23,2;-46,78;CAMPO LIMPO PAULISTA - SP;CAMPO LIMPO PAULISTA;SP;322948,60262611
4836;-22,73;-45,59;CAMPOS DO JORDAO - SP;CAMPOS DO JORDAO;SP;217075,591910515
4837;-22,6;-50;CAMPOS NOVOS PAULISTA - SP;CAMPOS NOVOS PAULISTA;SP;28869,5334956399
4838;-25,01;-47,92;CANANEIA - SP;CANANEIA;SP;59427,8575096115
4839;-22,7;-45,05;CANAS - SP;CANAS;SP;19172,4379278537
4840;-22,74;-50,38;CANDIDO MOTA - SP;CANDIDO MOTA;SP;191695,38001292
4841;-21,32;-48,63;CANDIDO RODRIGUES - SP;CANDIDO RODRIGUES;SP;15801,6928723563
4842;-23;-49,78;CANITAR - SP;CANITAR;SP;17585,9745352957
4843;-24;-48,34;CAPAO BONITO - SP;CAPAO BONITO;SP;280312,825033602
4844;-23,47;-47,73;CAPELA DO ALTO - SP;CAPELA DO ALTO;SP;88162,9457149072
4845;-22,99;-47,5;CAPIVARI - SP;CAPIVARI;SP;254229,481282693
