ID;LATITUDE;LONGITUDE;Mun/UF;MUNICIPIO;UF;Valor
1726;-19,72;-50,19;ITURAMA - MG;ITURAMA;MG;164929,975788306
1727;-21,29;-44,65;ITUTINGA - MG;ITUTINGA;MG;27484,3063771076
1728;-19,51;-43,74;JABOTICATUBAS - MG;JABOTICATUBAS;MG;76162,7404312624
1729;-16,14;-40,29;JACINTO - MG;JACINTO;MG;82937,201720441
1730;-21,01;-46,74;JACUI - MG;JACUI;MG;49539,4976453502
1731;-22,28;-46,61;JACUTINGA - MG;JACUTINGA;MG;103751,985179301
1732;-19,64;-42,75;JAGUARACU - MG;JAGUARACU;MG;15720,124219386
1733;-15,33;-43,67;JAIBA - MG;JAIBA;MG;152236,72024437
1734;-18,46;-41,8;JAMPRUCA - MG;JAMPRUCA;MG;31317,641557709
1735;-15,8;-43,3;JANAUBA - MG;JANAUBA;MG;359158,965124236
1736;-15,48;-44,36;JANUARIA - MG;JANUARIA;MG;420231,607514772
1737;-20,14;-45,5;JAPARAIBA - MG;JAPARAIBA;MG;20888,2302944904
1738;-15,99;-44,27;JAPONVAR - MG;JAPONVAR;MG;39651,3635673708
1739;-20,53;-43,98;JECEABA - MG;JECEABA;MG;36537,4473893069
1740;-17,08;-42,25;JENIPAPO DE MINAS - MG;JENIPAPO DE MINAS;MG;48491,6006170135
1741;-20,45;-42,66;JEQUERI - MG;JEQUERI;MG;84666,5408139155
1742;-17,23;-44,44;JEQUITAI - MG;JEQUITAI;MG;53184,3463612123
1743;-19,23;-44,02;JEQUITIBA - MG;JEQUITIBA;MG;32901,0518727624
1744;-16,43;-41;JEQUITINHONHA - MG;JEQUITINHONHA;MG;146057,833042294
1745;-21,99;-45,29;JESUANIA - MG;JESUANIA;MG;28516,8119595748
1746;-16,65;-41,03;JOAIMA - MG;JOAIMA;MG;90277,0835499811
1747;-19,17;-42,67;JOANESIA - MG;JOANESIA;MG;43935,3480008704
1748;-19,81;-43,17;JOAO MONLEVADE - MG;JOAO MONLEVADE;MG;380095,017382265
1749;-17,74;-46,17;JOAO PINHEIRO - MG;JOAO PINHEIRO;MG;248542,885804615
1750;-17,75;-44,17;JOAQUIM FELICIO - MG;JOAQUIM FELICIO;MG;27574,2324967708
1751;-15,9;-40,17;JORDANIA - MG;JORDANIA;MG;63260,0326371454
1752;-16,9;-42,6;JOSE GONCALVES DE MINAS - MG;JOSE GONCALVES DE MINAS;MG;28204,7351241156
1753;-18,21;-42,49;JOSE RAYDAN - MG;JOSE RAYDAN;MG;24644,8487358502
1754;-16,54;-42,51;JOSENOPOLIS - MG;JOSENOPOLIS;MG;26242,2644424725
1755;-19,95;-44,34;JUATUBA - MG;JUATUBA;MG;80349,5705744331
1756;-21,76;-43,35;JUIZ DE FORA - MG;JUIZ DE FORA;MG;424479
1757;-16,84;-43,58;JURAMENTO - MG;JURAMENTO;MG;25954,601955297
1758;-21,25;-46,57;JURUAIA - MG;JURUAIA;MG;46283,5956880074
1759;-14,26;-44,16;JUVENILIA - MG;JUVENILIA;MG;43395,8623073957
1760;-17,63;-41,73;LADAINHA - MG;LADAINHA;MG;100341,487369521
1761;-18,17;-46,8;LAGAMAR - MG;LAGAMAR;MG;50430,3439412353
1762;-20,02;-45,54;LAGOA DA PRATA - MG;LAGOA DA PRATA;MG;211593,351465631
1763;-16,98;-44,58;LAGOA DOS PATOS - MG;LAGOA DOS PATOS;MG;27658,6727693543
1764;-20,91;-44,07;LAGOA DOURADA - MG;LAGOA DOURADA;MG;74875,7518361805
1765;-18,77;-46,4;LAGOA FORMOSA - MG;LAGOA FORMOSA;MG;106793,631438619
1766;-17,83;-46,51;LAGOA GRANDE - MG;LAGOA GRANDE;MG;46304,9033750267
1767;-19,62;-43,89;LAGOA SANTA - MG;LAGOA SANTA;MG;203660,33423997
1768;-20,15;-41,62;LAJINHA - MG;LAJINHA;MG;100694,418332288
1769;-21,97;-45,35;LAMBARI - MG;LAMBARI;MG;106269,24337638
1770;-20,79;-43,47;LAMIM - MG;LAMIM;MG;21066,0148952105
1771;-21,37;-42,47;LARANJAL - MG;LARANJAL;MG;36405,1857508395
1772;-17,88;-44,57;LASSANCE - MG;LASSANCE;MG;39181,1078235177
1773;-21,24;-45;LAVRAS - MG;LAVRAS;MG;473522,926992443
1774;-19,71;-45,02;LEANDRO FERREIRA - MG;LEANDRO FERREIRA;MG;21204,8511820206
1775;-17,08;-42,69;LEME DO PRADO - MG;LEME DO PRADO;MG;27591,5835826021
1776;-21,53;-42,64;LEOPOLDINA - MG;LEOPOLDINA;MG;314325,932684747
1777;-22,02;-44,32;LIBERDADE - MG;LIBERDADE;MG;37005,4423695611
1778;-21,84;-43,79;LIMA DUARTE - MG;LIMA DUARTE;MG;92456,6055941224
1779;-19,55;-50,58;LIMEIRA DO OESTE - MG;LIMEIRA DO OESTE;MG;43349,9169012717
1780;-15,9;-44,3;LONTRA - MG;LONTRA;MG;46397,3675104877
1781;-20,44;-42,1;LUISBURGO - MG;LUISBURGO;MG;31979,9434077693
1782;-16,11;-44,58;LUISLANDIA - MG;LUISLANDIA;MG;34399,9729056577
1783;-21,51;-44,9;LUMINARIAS - MG;LUMINARIAS;MG;34762,4192009218
1784;-19,8;-45,68;LUZ - MG;LUZ;MG;101991,66523579
1785;-17,07;-40,71;MACHACALIS - MG;MACHACALIS;MG;40570,4398027071
1786;-21,67;-45,92;MACHADO - MG;MACHADO;MG;211366,500908299
1787;-21,48;-44,33;MADRE DE DEUS DE MINAS - MG;MADRE DE DEUS DE MINAS;MG;29839,6451141719
1788;-17,84;-42,07;MALACACHETA - MG;MALACACHETA;MG;118192,40171638
1789;-15,05;-42,94;MAMONAS - MG;MAMONAS;MG;40343,1271868019
1790;-14,75;-43,93;MANGA - MG;MANGA;MG;128073,521701977
1791;-20,25;-42,03;MANHUACU - MG;MANHUACU;MG;383971,355994943
1792;-20,35;-41,95;MANHUMIRIM - MG;MANHUMIRIM;MG;109980,281073461
1793;-18,78;-40,98;MANTENA - MG;MANTENA;MG;190569,019726027
1794;-21,86;-43,01;MAR DE ESPANHA - MG;MAR DE ESPANHA;MG;67456,6678719471
1795;-19,51;-44,67;MARAVILHAS - MG;MARAVILHAS;MG;40322,2443435502
1796;-22,3;-45,37;MARIA DA FE - MG;MARIA DA FE;MG;95467,5615677066
1797;-20,37;-43,41;MARIANA - MG;MARIANA;MG;248103,861581711
1798;-18,5;-42,08;MARILAC - MG;MARILAC;MG;26390,8504827044
1799;-20,05;-44,18;MARIO CAMPOS - MG;MARIO CAMPOS;MG;44174,6482735846
1800;-21,69;-42,95;MARIPA DE MINAS - MG;MARIPA DE MINAS;MG;15310,1295644214
